タイムスタンプ,画像,店舗名,メニュー名,ジャンル,麺,スープ,住所,Google Map URL
2025/05/26 20:25:53,https://drive.google.com/open?id=1EA2BDQlYKNBX0ijXiMn8XwlWFSY7C7jU,麺屋 歩夢,小ラーメン,ラーメン,太麺,二郎系,神奈川県相模原市中央区淵野辺本町３丁目２９−１３,https://maps.app.goo.gl/zSjgdoFPgkV4vpRy5
2025/05/27 18:20:18,https://drive.google.com/open?id=1r3g4UC-JaOg72K-MneqeXfhdil7pyRtp,拉麺はま家,牡蠣とあさりオイル塩そば,ラーメン,細麺,塩,東京都中央区日本橋小伝馬町８−５ 新日本パレス 1階,https://maps.app.goo.gl/ZzmH9hjD3Vmoa7DD8
2025/05/27 18:22:27,https://drive.google.com/open?id=1fnZB5ifZuypHIKX-exQ_nfNcEOwpAxfh,ラーメンたつみ屋 池尻店,小樽黒醤油ラーメン,ラーメン,ちぢれ麺,醤油,東京都世田谷区池尻３丁目４−１ オークハウス池尻大橋,https://maps.app.goo.gl/virAt4Notty8KxUe6
2025/05/28 9:48:56,https://drive.google.com/open?id=15g4szaFcYAzK12xqa38LkwEVMlLYrD67,ウチデノコヅチ,らーめん小,ラーメン,太麺,二郎系,東京都世田谷区経堂３丁目３８−２,https://maps.app.goo.gl/eXpqFjqgxREvuSq47
2025/05/28 9:49:30,https://drive.google.com/open?id=1_ZnrKnk6ol9_9089DKm11T_ZWGTL6tdE,蒙古タンメン中本 新宿,新大久保北極,ラーメン,中太麺,辛い系,東京都新宿区西新宿７丁目８−１１ 美笠ビル B1Ｆ,https://maps.app.goo.gl/gnRToPYCceLJMZbX7
2025/06/14 13:40:29,https://drive.google.com/open?id=1KVHtZ319TG1A67aBVc-xPGkzWf9AF4Og,麺屋はな道,塩はな道,ラーメン,中太麺,塩,山梨県甲斐市島上条６３２−１,https://maps.app.goo.gl/Kbbs7Fw3zRZogHox9
2025/06/21 14:43:13,https://drive.google.com/open?id=1TqkGvOxRzw1TbRi7TF7NhzsUmxy0Vdpn,らあめん英 本店,らあめん,ラーメン,細麺,豚骨,東京都世田谷区経堂２丁目８−７,https://maps.app.goo.gl/6fCTFL2VEfQiy5rw5
2025/06/21 15:13:33,https://drive.google.com/open?id=1yEd9acAUFPpxLxM2nrSNz8mpFuw3UIPi,つけ麺三三㐂,つけ麺 煮番搾り,つけ麺,太麺,魚介,神奈川県川崎市川崎区小川町9-7,https://maps.app.goo.gl/4CDfPUQjFg5c39wL9
2025/06/21 15:15:31,https://drive.google.com/open?id=1ckOnjbROdWILjcelVUM14FEsaYEyNw0u,豚らーめん ミドリカワ,濃厚らーめん,ラーメン,太麺,二郎系,神奈川県海老名市中央３丁目２−９ テイク・ワンビルＤ,https://maps.app.goo.gl/ywsq5VuF5auk8xBC6
2025/06/21 15:17:23,https://drive.google.com/open?id=1tnps9hfBKzFabZv20euqyhmbw6UmECZm,中華そば みやざき,中華そば塩,ラーメン,細麺,塩,神奈川県川崎市多摩区登戸２９７７−４,https://maps.app.goo.gl/dKpfNpoa4KDvvDa89
2025/06/21 15:19:13,https://drive.google.com/open?id=1KS97C2s1P_7ze-MpTehEIyE215ntpc5s,らぁめん ほりうち 新宿本店,チャーシューざるらぁめん,つけ麺,中太麺,醤油,東京都新宿区西新宿１丁目４−７ 高野ビル 1階,https://maps.app.goo.gl/HPjqkiXaxXsYqhB19
2025/06/21 15:20:39,https://drive.google.com/open?id=1spJylv9zJhEInBv4rB2sZ2wHY44ERUGv,鴨と蟹 中華そば 燈,鴨と上州地鶏 淡麗つけめん,つけ麺,中太麺,醤油,神奈川県川崎市多摩区登戸３４１４−９ ルールーリマ 1F,https://maps.app.goo.gl/uanq8qKA7D2Bbs439
2025/06/21 15:21:11,https://drive.google.com/open?id=1Ev5kYu-AK6JY_JKjPbNfjsnebf5tUjlO,ラーメン荘 歴史を刻め 世田谷,汁無し,油そば,太麺,二郎系,東京都世田谷区砧３丁目５−２,https://maps.app.goo.gl/AvRLn8noSjyPTdVWA
2025/06/21 15:22:59,https://drive.google.com/open?id=12wnX9FKd-WqizZRPGQGeDI2hboy1KY6q,舎鈴 ゲートシティ大崎店,つけ麺,つけ麺,太麺,魚介,東京都品川区大崎１丁目１１−１ ゲートシティ大崎 2F,https://maps.app.goo.gl/mRSzGX73CrjVug6s7
2025/06/21 15:27:01,https://drive.google.com/open?id=1N9AwNTSrbqvWBZE3yOFaVW1k_Crgau2z,元祖ニュータンタンメン本舗 登戸店,タンタンメン,ラーメン,中太麺,担々麺,神奈川県川崎市多摩区登戸２４２２−３ グロウス 1F,https://maps.app.goo.gl/U9kvFRTXZZxcuRuX8
2025/06/21 15:31:58,https://drive.google.com/open?id=1sqH48U7H6eGARnaAKiC2FVogWprmBASd,ラーメン二郎 生田駅前店,小ラーメン,ラーメン,太麺,二郎系,神奈川県川崎市多摩区生田８丁目１−１５ スワンハイツ,https://maps.app.goo.gl/pmq9ajEXALodxNMn8
2025/06/21 15:36:26,https://drive.google.com/open?id=1RNYddIgShwfP8YRXrOst13gRonAyEzJ2,自家製麺No11,ラーメン,ラーメン,太麺,二郎系,東京都板橋区大山金井町１４−１２,https://maps.app.goo.gl/huG1qJeaD18PPfPLA
2025/06/21 15:36:54,https://drive.google.com/open?id=1WACzFvjFKoWdWk6hH5Bq8ScoOZNjdmb7,頑者 NEXTLEVEL(お台場),つけめん,つけ麺,太麺,魚介,東京都港区台場１丁目７−１,https://maps.app.goo.gl/Pt5Lh9mcX6UXtnQ98
2025/06/21 16:35:26,https://drive.google.com/open?id=103hbD-Pbegc3571OzUEoC18YrzZGz0-E,笠岡らーめん TAKETONBO,鶏ワンタンそば,ラーメン,中太麺,魚介,東京都中央区築地２丁目１４−３ 天羽ビル,https://maps.app.goo.gl/PG3jU7kFF2kSGpB1A
2025/06/21 19:06:39,https://drive.google.com/open?id=1I3eWI2RHp7ukvV2NXJetjQDniOkjwpeE,博多一幸舎 総本店,泡系豚骨ラーメン,ラーメン,細麺,豚骨,福岡県福岡市博多区博多駅前３丁目２３−１２,https://maps.app.goo.gl/jgKSbjFi5x8RoTt9A
2025/06/21 19:08:42,https://drive.google.com/open?id=1V9iIYR4AL3Bv2p9yM9EuhNf9fAk4rzFC,横濱家系ラーメン鈴木家本厚木店,ラーメン,ラーメン,中太麺,家系,神奈川県厚木市中町３丁目１３−１ トリノビル 1階,https://maps.app.goo.gl/KSMeQ5WpL2JiEzRx7
2025/06/21 19:13:53,https://drive.google.com/open?id=1h-I03voTpAhf06KRob24tsh989klK3TO,博多らーめんShinShin 博多デイトス店,博多ShinShin ラーメン,ラーメン,細麺,豚骨,福岡県福岡市博多区博多駅中央街１−１,https://maps.app.goo.gl/1mq6owBUFuocgDNP8
2025/06/21 19:16:32,https://drive.google.com/open?id=1takIyaPcIeI90oQQ5_jRha0sffs0IPgt,麺や兼虎 博多デイトス店,辛辛つけ麺,つけ麺,太麺,辛い系,福岡県福岡市博多区博多駅中央街１−１ JR博多駅 博多めん街道内,https://maps.app.goo.gl/vJy1ptk95BWpU559A
2025/06/21 19:20:20,https://drive.google.com/open?id=1rthUtCcdzRmP9VFWaHsw-_XSRQU-DEEF,らーめん 凌駕,ラーメン,ラーメン,ちぢれ麺,醤油,東京都大田区北千束３丁目２９−１１,https://maps.app.goo.gl/MhR5TndK76FVv7Vw6
2025/06/21 19:25:36,https://drive.google.com/open?id=1QXEexXouSCQxSKMMbLu9Z48R3bDMevHn,人類みな麺類 東京本店,らーめんMacro,ラーメン,中太麺,魚介,東京都渋谷区恵比寿西２丁目１０−３ プラネックスアンペール １F,https://maps.app.goo.gl/MZzTdveDeMWkRSNj8
2025/06/21 19:37:23,https://drive.google.com/open?id=1oGpNPv39CJpDr31pGhh1HZVzOjmzIHTB,オダサガ味噌,赤味噌ラーメン,ラーメン,中太麺,味噌,神奈川県相模原市南区松が枝町２４−１５,https://maps.app.goo.gl/dYCmwZQQ3Ged3xbD8
2025/06/21 19:44:33,https://drive.google.com/open?id=1bJLpKNCuyAZQVsE9uaEgW0TAthqvkw6h,町田汁場 しおらーめん 進化 町田駅前店,しおらーめん,ラーメン,細麺,塩,東京都町田市森野3-18-17 ウイング森野 1F,https://maps.app.goo.gl/iVqfRof9Ztmvv24g6
2025/06/21 19:50:09,https://drive.google.com/open?id=1d5_KGHxUMkYrPZbylTKUGcmwEJwyU9ky,貝麺みかわ,中華そば 塩,ラーメン,細麺,塩,東京都世田谷区北沢２丁目２５−４,https://maps.app.goo.gl/99VJA2rRka2JTs3w5
2025/06/21 19:51:57,https://drive.google.com/open?id=11lIv8R7e0U3HsxkYiRG51VwRN358bloK,麺処 彩,鯛ラーメン 塩,ラーメン,細麺,塩,神奈川県足柄下郡箱根町湯本706 丸嶋ビル3Ｆ,https://maps.app.goo.gl/smawHh5FiUnP32R98
